vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,t
-nan,-nan,-nan,0,0,0,0,0,0,0,0,0,-nan,-nan,-nan,1655318380
-nan,-nan,-nan,0,0,0,-1.80024,1.11513,1.40107,0.0228998,-0.0128718,0.0981037,-nan,-nan,-nan,1655318380
-nan,-nan,-nan,0,0,0,-1.80013,1.11513,1.40097,0.0215374,-0.014024,0.0972481,-nan,-nan,-nan,1655318381
-nan,-nan,-nan,0,0,0,-1.80008,1.11531,1.40086,0.0195774,-0.0139182,0.095721,-nan,-nan,-nan,1655318381
-nan,-nan,-nan,0,0,0,-1.80009,1.11532,1.40089,0.0195243,-0.0140526,0.0958241,-nan,-nan,-nan,1655318382
0,0,0,0,0,0,-1.80008,1.11531,1.40088,0.019418,-0.0139541,0.0957834,0,0,0,1655318382
-nan,-nan,-nan,0,0,0,-1.80024,1.11533,1.40104,0.0211574,-0.0124363,0.0964715,-nan,-nan,-nan,1655318382
-nan,-nan,-nan,0,0,0,-1.80008,1.11533,1.40088,0.0194676,-0.0140447,0.095609,-nan,-nan,-nan,1655318383
-nan,-nan,-nan,0,0,0,-1.80024,1.11535,1.40105,0.0207052,-0.0127961,0.0963053,-nan,-nan,-nan,1655318383
0,0,0,0,0,0,-1.80022,1.11533,1.40103,0.021028,-0.0125592,0.0964622,0,0,0,1655318384
-nan,-nan,-nan,0,0,0,-1.80012,1.11514,1.40098,0.0211572,-0.0146313,0.0972889,-nan,-nan,-nan,1655318384
-nan,-nan,-nan,0,0,0,-1.80012,1.11513,1.40097,0.021295,-0.0145211,0.0972307,-nan,-nan,-nan,1655318384
0,0,0,0,0,0,-1.80007,1.11531,1.40085,0.0196494,-0.0137794,0.0957495,0,0,0,1655318385
-nan,-nan,-nan,0,0,0,-1.80026,1.11513,1.4011,0.0226834,-0.013081,0.0980865,-nan,-nan,-nan,1655318385
-nan,-nan,-nan,0,0,0,-1.80023,1.11534,1.40102,0.020948,-0.0124764,0.0962497,-nan,-nan,-nan,1655318386
-nan,-nan,-nan,0,0,0,-1.80022,1.11536,1.40101,0.0208541,-0.012726,0.0963402,-nan,-nan,-nan,1655318386
0,0,0,0,0,0,-1.80026,1.11513,1.4011,0.0226737,-0.0131454,0.0980007,0,0,0,1655318386
-nan,-nan,-nan,0,0,0,-1.80027,1.11515,1.40113,0.022571,-0.0131581,0.0978632,-nan,-nan,-nan,1655318387
0,0,0,0,0,0,-1.80012,1.11511,1.40095,0.0214817,-0.0141332,0.0972839,0,0,0,1655318387
-nan,-nan,-nan,0,0,0,-1.80012,1.11512,1.40097,0.0213338,-0.0143475,0.0972228,-nan,-nan,-nan,1655318388
0,0,0,0,0,0,-1.80002,1.11502,1.40088,0.0211787,-0.0148623,0.0968863,0,0,0,1655318388
-nan,-nan,-nan,0,0,0,-1.80011,1.11512,1.40096,0.0213575,-0.0142973,0.0973302,-nan,-nan,-nan,1655318388
-nan,-nan,-nan,0,0,0,-1.80008,1.11533,1.40087,0.0195012,-0.0141106,0.0956844,-nan,-nan,-nan,1655318389
-nan,-nan,-nan,0,0,0,-1.79999,1.11526,1.40082,0.0194703,-0.014607,0.0953563,-nan,-nan,-nan,1655318389
-nan,-nan,-nan,0,0,0,-1.80023,1.11535,1.40105,0.0210252,-0.0125972,0.0964208,-nan,-nan,-nan,1655318390
-nan,-nan,-nan,0,0,0,-1.80012,1.1151,1.40098,0.0214079,-0.014245,0.0973671,-nan,-nan,-nan,1655318390
-nan,-nan,-nan,0,0,0,-1.80011,1.11513,1.40096,0.0212015,-0.0144494,0.0972932,-nan,-nan,-nan,1655318391
-nan,-nan,-nan,0,0,0,-1.80011,1.11511,1.40097,0.021324,-0.0144698,0.0973788,-nan,-nan,-nan,1655318391
-nan,-nan,-nan,0,0,0,-1.80012,1.11513,1.40098,0.0211078,-0.0145367,0.0972492,-nan,-nan,-nan,1655318391
-nan,-nan,-nan,0,0,0,-1.80011,1.11511,1.40096,0.0213608,-0.0143472,0.0973847,-nan,-nan,-nan,1655318392
-nan,-nan,-nan,0,0,0,-1.80025,1.11514,1.4011,0.0226171,-0.0132122,0.0980164,-nan,-nan,-nan,1655318392
-nan,-nan,-nan,0,0,0,-1.80009,1.11532,1.40088,0.019272,-0.0139011,0.0956094,-nan,-nan,-nan,1655318393
0,0,0,0,0,0,-1.80028,1.11514,1.40114,0.0227674,-0.0129375,0.0979842,0,0,0,1655318393
0,0,0,0,0,0,-1.80011,1.11511,1.40096,0.021544,-0.014258,0.0974481,0,0,0,1655318393
0,0,0,0,0,0,-1.80023,1.11535,1.40105,0.0208906,-0.0126588,0.0963585,0,0,0,1655318394
0,0,0,0,0,0,-1.80009,1.11534,1.40089,0.0197195,-0.0139013,0.0956019,0,0,0,1655318394
0,0,0,0,0,0,-1.80024,1.11535,1.40104,0.0207722,-0.012636,0.0963555,0,0,0,1655318394
0,0,0,0,0,0,-1.8002,1.11536,1.40102,0.0205595,-0.0127215,0.0962859,0,0,0,1655318395
-nan,-nan,-nan,0,0,0,-1.80025,1.11535,1.40102,0.0209145,-0.0124085,0.0963577,-nan,-nan,-nan,1655318395
0,0,0,0,0,0,-1.80012,1.11513,1.40096,0.0212128,-0.0142912,0.0972539,0,0,0,1655318396
-nan,-nan,-nan,0,0,0,-1.80013,1.11512,1.40097,0.0213742,-0.0143851,0.0972481,-nan,-nan,-nan,1655318396
-nan,-nan,-nan,0,0,0,-1.80011,1.11514,1.40097,0.0211888,-0.0143656,0.0972344,-nan,-nan,-nan,1655318396
-nan,-nan,-nan,0,0,0,-1.8001,1.11534,1.40087,0.0194341,-0.0138768,0.0954678,-nan,-nan,-nan,1655318397
-nan,-nan,-nan,0,0,0,-1.80012,1.11512,1.40097,0.0214594,-0.0142085,0.0973538,-nan,-nan,-nan,1655318397
-nan,-nan,-nan,0,0,0,-1.80024,1.11535,1.40104,0.0208489,-0.0126437,0.0963164,-nan,-nan,-nan,1655318398
-nan,-nan,-nan,0,0,0,-1.80012,1.11513,1.40095,0.021444,-0.0142044,0.0974167,-nan,-nan,-nan,1655318398
-nan,-nan,-nan,0,0,0,-1.80011,1.11513,1.40099,0.0211871,-0.0144932,0.0972677,-nan,-nan,-nan,1655318398
0,0,0,0,0,0,-1.80012,1.11514,1.40098,0.0213187,-0.0144058,0.0972045,0,0,0,1655318399
-nan,-nan,-nan,0,0,0,-1.80026,1.11515,1.40113,0.0226806,-0.0130114,0.0979475,-nan,-nan,-nan,1655318399
0,0,0,0,0,0,-1.80009,1.11533,1.40087,0.0195325,-0.0138296,0.0956085,0,0,0,1655318400
-nan,-nan,-nan,0,0,0,-1.79999,1.11522,1.4008,0.019579,-0.0144599,0.095412,-nan,-nan,-nan,1655318400
-nan,-nan,-nan,0,0,0,-1.80002,1.11526,1.40084,0.0195146,-0.0144669,0.0957016,-nan,-nan,-nan,1655318401
0,0,0,0,0,0,-1.80024,1.11536,1.40105,0.0209363,-0.01253,0.0963041,0,0,0,1655318401
0,0,0,0,0,0,-1.80024,1.11515,1.4011,0.022445,-0.0132423,0.0979834,0,0,0,1655318401
0,0,0,0,0,0,-1.80004,1.11504,1.40093,0.0213783,-0.0147198,0.0970565,0,0,0,1655318402
-nan,-nan,-nan,0,0,0,-1.8,1.11528,1.40083,0.019415,-0.0145106,0.0954342,-nan,-nan,-nan,1655318402
0,0,0,0,0,0,-1.80008,1.11534,1.4009,0.0192378,-0.0140807,0.0955536,0,0,0,1655318402
-nan,-nan,-nan,0,0,0,-1.80027,1.11517,1.40113,0.0224696,-0.0133986,0.0977465,-nan,-nan,-nan,1655318403
-nan,-nan,-nan,0,0,0,-1.80009,1.11532,1.4009,0.0196616,-0.01391,0.0958752,-nan,-nan,-nan,1655318403
-nan,-nan,-nan,0,0,0,-1.80004,1.11528,1.40087,0.0196601,-0.014299,0.0954743,-nan,-nan,-nan,1655318404
-nan,-nan,-nan,0,0,0,-1.80022,1.11537,1.40103,0.0207353,-0.0127114,0.0962925,-nan,-nan,-nan,1655318404
-nan,-nan,-nan,0,0,0,-1.80012,1.11512,1.40096,0.0215422,-0.0141249,0.0973993,-nan,-nan,-nan,1655318404
0,0,0,0,0,0,-1.80011,1.11512,1.40096,0.0213627,-0.0142704,0.097279,0,0,0,1655318405
-nan,-nan,-nan,0,0,0,-1.80008,1.11505,1.40094,0.0214201,-0.0146676,0.0973109,-nan,-nan,-nan,1655318405
0,0,0,0,0,0,-1.80013,1.11514,1.40097,0.0212822,-0.014344,0.0970918,0,0,0,1655318406
-nan,-nan,-nan,0,0,0,-1.80013,1.11513,1.40099,0.0213654,-0.0143171,0.0972915,-nan,-nan,-nan,1655318407
0,0,0,0,0,0,-1.80009,1.11532,1.4009,0.0196245,-0.013719,0.0957883,0,0,0,1655318408
0,0,0,0,0,0,-1.8001,1.11536,1.40091,0.0194449,-0.0137936,0.0954928,0,0,0,1655318408
0,0,0,0,0,0,-1.79999,1.11522,1.40084,0.0197072,-0.0144503,0.0955482,0,0,0,1655318409
0,0,0,0,0,0,-1.80022,1.11537,1.40104,0.0204767,-0.0127803,0.0961945,0,0,0,1655318409
-nan,-nan,-nan,0,0,0,-1.8001,1.11534,1.40092,0.0194567,-0.0140885,0.095573,-nan,-nan,-nan,1655318409
-nan,-nan,-nan,0,0,0,-1.80016,1.11524,1.40096,0.0212655,-0.0128218,0.0961748,-nan,-nan,-nan,1655318410
0,0,0,0,0,0,-1.80016,1.11533,1.40098,0.0209311,-0.0128208,0.0959758,0,0,0,1655318410
0,0,0,0,0,0,-1.80015,1.11525,1.40097,0.0212918,-0.0127379,0.0962087,0,0,0,1655318410
0,0,0,0,0,0,-1.80008,1.11533,1.40089,0.0194409,-0.0141147,0.0957521,0,0,0,1655318411
-nan,-nan,-nan,0,0,0,-1.80003,1.11504,1.40093,0.0212647,-0.0148798,0.0970726,-nan,-nan,-nan,1655318411
0,0,0,0,0,0,-1.8001,1.11534,1.40091,0.0193814,-0.013986,0.0956209,0,0,0,1655318412
0,0,0,0,0,0,-1.80009,1.11536,1.40092,0.0194253,-0.0139593,0.0955191,0,0,0,1655318412
0,0,0,0,0,0,-1.8001,1.11534,1.40091,0.0193625,-0.0139964,0.0955716,0,0,0,1655318412
-nan,-nan,-nan,0,0,0,-1.8002,1.11505,1.40109,0.0229821,-0.0133888,0.0977995,-nan,-nan,-nan,1655318413
0,0,0,0,0,0,-1.80012,1.11513,1.401,0.0212681,-0.0144306,0.0972598,0,0,0,1655318413
0,0,0,0,0,0,-1.80027,1.11515,1.40114,0.0226484,-0.012992,0.0980215,0,0,0,1655318414
-nan,-nan,-nan,0,0,0,-1.80006,1.11505,1.40093,0.0213394,-0.0145913,0.0969631,-nan,-nan,-nan,1655318414
-nan,-nan,-nan,0,0,0,-1.80023,1.11535,1.40105,0.0208759,-0.0126804,0.0963148,-nan,-nan,-nan,1655318414
-nan,-nan,-nan,0,0,0,-1.80011,1.11533,1.40092,0.0196741,-0.0136837,0.0957494,-nan,-nan,-nan,1655318415
-nan
