vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.922809,-0.421894,0.110496,-0.167652,1.05896,1.29804,0.0275971,0.000184197,0.931576,0.922809,-0.421894,0.110496
0,0,0,0.922766,-0.421868,0.110509,-0.154957,1.05048,1.30097,0.0281801,-0.00443336,0.928443,0.922766,-0.421868,0.110509
0,0,0,0.922862,-0.421839,0.110489,-0.151895,1.04418,1.30136,0.0354123,-0.0049153,0.9299,0.922862,-0.421839,0.110489
0,0,0,0.922801,-0.421916,0.110457,-0.159598,1.04089,1.30077,0.0298019,-0.00174035,0.922276,0.922801,-0.421916,0.110457
0,0,0,0.92284,-0.421889,0.110481,-0.171801,1.03988,1.29959,0.0336329,0.00421552,0.924272,0.92284,-0.421889,0.110481
0.917849,-0.43959,0.242612,0.922814,-0.421875,0.110461,-0.188828,1.04049,1.29728,0.032488,0.0098133,0.920555,0.00496542,0.0177155,-0.132151
0.917849,-0.43959,0.242612,0.922793,-0.421875,0.110493,-0.201301,1.04358,1.29694,0.0349746,0.0129862,0.921968,0.00494468,0.0177148,-0.132119
0.917849,-0.43959,0.242612,0.922794,-0.421878,0.110479,-0.200882,1.0507,1.29861,0.0316911,0.007525,0.918359,0.00494581,0.017712,-0.132133
0.917849,-0.43959,0.242612,0.922816,-0.421881,0.110503,-0.198337,1.0529,1.30129,-0.016474,0.0292566,0.909855,0.00496763,0.0177089,-0.132109
0.917849,-0.43959,0.242612,0.922861,-0.421986,0.110812,-0.195578,0.988808,1.30437,0.0113396,-0.0199438,0.877992,0.00501245,0.0176038,-0.1318
0.917849,-0.43959,0.242612,0.922863,-0.42198,0.110773,-0.302854,0.852698,1.30841,-0.0607387,-0.114698,0.800514,0.00501406,0.01761,-0.131839
1.03676,-0.511379,0.423991,0.922364,-0.422114,0.110095,-0.631001,0.53209,1.30622,-0.039304,-0.0511145,0.655053,-0.114397,0.0892655,-0.313896
0.970388,-0.429988,0.264842,0.922882,-0.42199,0.11082,-1.00226,0.0459789,1.29307,0.0879189,0.0605397,0.329618,-0.0475062,0.00799772,-0.154022
0.948823,-0.410596,0.28755,0.922906,-0.421961,0.110787,-1.08562,-0.252482,1.29264,0.0604557,0.0961409,0.130625,-0.0259173,-0.0113646,-0.176763
0.962938,-0.554263,0.286112,0.923066,-0.421718,0.110955,-0.972933,-0.404623,1.29119,0.0467469,-0.0396738,-0.0382221,-0.0398721,0.132545,-0.175157
0.967533,-0.451993,0.314526,0.922964,-0.421938,0.110827,-0.864512,-0.458736,1.2961,0.0541728,-0.030501,-0.295971,-0.0445694,0.0300556,-0.203699
0.945642,-0.439011,0.293121,0.923067,-0.42175,0.110964,-0.782404,-0.423891,1.29951,0.000247484,-0.0396457,-0.295939,-0.0225751,0.017261,-0.182157
0.955252,-0.430469,0.28569,0.922949,-0.421942,0.11091,-0.719684,-0.387824,1.30113,-0.00495766,-0.0416805,-0.29684,-0.0323027,0.00852668,-0.174779
0.973967,-0.43073,0.306173,0.923227,-0.421443,0.111153,-0.683658,-0.36617,1.29858,-0.00833709,-0.0550963,-0.300414,-0.0507399,0.00928706,-0.19502
0.985437,-0.456294,0.323778,0.923247,-0.421418,0.111166,-0.676991,-0.350164,1.29934,-0.00519855,-0.0569215,-0.28896,-0.0621898,0.034876,-0.212612
0.967783,-0.421353,0.295044,0.923225,-0.421457,0.111127,-0.675961,-0.342697,1.29506,-0.00483347,-0.0402916,-0.303413,-0.044558,-0.000103444,-0.183917
0.969048,-0.436087,0.287449,0.923155,-0.421372,0.110964,-0.681278,-0.344281,1.29356,-0.00592289,-0.0342587,-0.300629,-0.0458924,0.0147152,-0.176486
0.96738,-0.442476,0.303161,0.922905,-0.421864,0.110652,-0.688316,-0.359317,1.2891,0.00686072,-0.0334284,-0.296738,-0.0444754,0.0206126,-0.192509
0.973808,-0.44863,0.298891,0.923125,-0.421697,0.111004,-0.695028,-0.372601,1.28591,0.00747853,-0.0335002,-0.303999,-0.0506827,0.0269332,-0.187887
0.971371,-0.423313,0.297067,0.923079,-0.421727,0.110957,-0.710586,-0.364017,1.28526,-0.00810239,-0.0282759,-0.314339,-0.0482918,0.00158563,-0.18611
0.988376,-0.446631,0.332691,0.92306,-0.421707,0.11096,-0.709349,-0.368679,1.28841,0.00245532,-0.0524065,-0.301289,-0.0653164,0.0249245,-0.221732
0.97207,-0.413661,0.291922,0.923077,-0.421742,0.110936,-0.705932,-0.372281,1.28765,-0.0103951,-0.0328535,-0.316297,-0.0489932,-0.00808138,-0.180986
0.993868,-0.465932,0.324204,0.923086,-0.421688,0.110987,-0.707697,-0.383943,1.28978,0.00862489,-0.0443976,-0.288273,-0.0707826,0.0442445,-0.213217
0.974196,-0.435771,0.303523,0.922911,-0.422004,0.110821,-0.700679,-0.394788,1.28837,0.00798842,-0.0299443,-0.301347,-0.051285,0.0137668,-0.192702
0.973224,-0.414543,0.297917,0.923041,-0.421772,0.110925,-0.69189,-0.393432,1.29324,-0.00119237,-0.0398461,-0.30824,-0.0501837,-0.007229,-0.186992
0.9802,-0.457756,0.31709,0.923249,-0.421472,0.111139,-0.687519,-0.37972,1.29505,0.00576745,-0.0475366,-0.287501,-0.0569516,0.036284,-0.205951
0.968441,-0.433,0.295758,0.922981,-0.421955,0.11094,-0.689548,-0.362199,1.29432,-0.0052111,-0.0331828,-0.292094,-0.0454602,0.0110447,-0.184818
0.96395,-0.429267,0.28869,0.923413,-0.421583,0.111581,-0.685025,-0.353152,1.29426,-0.00243326,-0.0361032,-0.291352,-0.0405372,0.00768384,-0.177108
0.966304,-0.440288,0.305622,0.923214,-0.421468,0.11112,-0.687386,-0.341753,1.2935,0.00354784,-0.031577,-0.295972,-0.0430896,0.0188204,-0.194502
0.976888,-0.44255,0.312124,0.923037,-0.42136,0.1111,-0.695248,-0.325809,1.29489,-0.0224278,-0.0430487,-0.290484,-0.0538505,0.0211895,-0.201024
0.984862,-0.464043,0.323995,0.923239,-0.421446,0.111136,-0.696357,-0.333335,1.2967,0.019564,-0.0455749,-0.288118,-0.0616227,0.0425977,-0.212859
0.991973,-0.435616,0.328685,0.92316,-0.421622,0.111071,-0.693696,-0.335645,1.29366,0.0594361,0.00129451,-0.303937,-0.0688135,0.0139938,-0.217614
0.977277,-0.424354,0.312562,0.923256,-0.421444,0.111143,-0.662679,-0.244077,1.29344,0.0272702,-0.0274968,-0.216299,-0.0540212,0.00291055,-0.201419
0.972468,-0.43077,0.287012,0.923067,-0.421708,0.11097,-0.622957,-0.0997852,1.29467,0.0271695,-0.0184214,0.0300343,-0.0494018,0.00906274,-0.176041
0.976243,-0.362448,0.271767,0.922634,-0.421833,0.110215,-0.559737,0.0672371,1.29514,0.0633915,-0.00191557,0.250814,-0.053609,-0.0593851,-0.161552
0.982577,-0.418296,0.330781,0.922811,-0.421917,0.110616,-0.469129,0.225008,1.2969,-0.0368036,-0.016302,0.671724,-0.0597665,-0.00362128,-0.220165
0.952277,-0.431782,0.317277,0.922877,-0.42199,0.110795,-0.377811,0.285803,1.29538,-0.028231,0.00797854,0.833235,-0.0294006,0.00979233,-0.206482
0.878398,-0.447217,0.242384,0.922888,-0.421992,0.11078,-0.270995,0.231791,1.2901,0.0506574,-0.0256407,0.781221,0.0444902,0.025225,-0.131604
0.917041,-0.43599,0.248219,0.922933,-0.421953,0.110804,-0.177918,0.173685,1.2893,0.0304029,-0.0126319,0.764274,0.00589162,0.0140373,-0.137416
0.899916,-0.46308,0.251289,0.922939,-0.421965,0.110845,-0.109355,0.136046,1.28719,0.0337636,-0.0200057,0.688936,0.0230232,0.0411146,-0.140444
0.907382,-0.460841,0.253857,0.922943,-0.421974,0.11079,-0.0688184,0.117026,1.28699,0.0273295,-0.0146825,0.632829,0.0155605,0.0388667,-0.143067
0.903232,-0.446991,0.233495,0.922945,-0.422007,0.110768,-0.0449411,0.116754,1.28734,0.0397697,0.00570067,0.548411,0.0197133,0.0249836,-0.122727
0.915132,-0.442046,0.256688,0.922912,-0.421955,0.110779,-0.0160181,0.139826,1.29035,0.0288705,-0.00297449,0.555222,0.00778013,0.0200912,-0.145909
0.9118,-0.459532,0.256437,0.922942,-0.421974,0.110817,0.00295206,0.149034,1.29274,0.0340369,-0.0102924,0.559154,0.0111417,0.0375579,-0.145619
0.916344,-0.434861,0.246047,0.922975,-0.421965,0.110804,0.0105663,0.143147,1.29012,0.0328824,-0.00243614,0.556961,0.00663131,0.0128963,-0.135244
0.923251,-0.429667,0.240224,0.922941,-0.421978,0.110761,0.00799333,0.135502,1.28896,0.0264738,-0.00324757,0.554746,-0.000309706,0.00768852,-0.129463
0.919316,-0.458751,0.255012,0.922928,-0.421954,0.110823,0.00171044,0.129225,1.29131,0.0443727,-0.0113783,0.560683,0.00361246,0.0367974,-0.144189
0.906468,-0.452481,0.245857,0.922931,-0.421981,0.110786,-0.00321387,0.13573,1.29645,0.0472079,0.000891664,0.552473,0.0164638,0.0305,-0.135071
0.91996,-0.442716,0.255374,0.922907,-0.421974,0.110786,-0.0026137,0.153584,1.29542,0.0286369,-0.00192312,0.545182,0.00294667,0.0207416,-0.144589
0.91461,-0.433314,0.250765,0.922986,-0.421958,0.11079,-0.000325234,0.162051,1.2948,0.0246467,0.0010277,0.545483,0.00837672,0.0113555,-0.139975
0.914053,-0.460553,0.269191,0.922974,-0.421969,0.110782,0.00827079,0.160701,1.29372,0.0407877,-0.0125695,0.548523,0.0089215,0.038583,-0.158409
0.91276,-0.43357,0.248019,0.922997,-0.421956,0.110826,0.0206941,0.163385,1.28998,0.0275325,-0.00400123,0.542185,0.0102367,0.0116145,-0.137193
0.91872,-0.449804,0.254003,0.922756,-0.421814,0.110793,0.0307083,0.169144,1.29136,0.0277046,-0.0101192,0.551715,0.00403547,0.0279898,-0.14321
0.919023,-0.443993,0.250141,0.922981,-0.421957,0.110755,0.0386728,0.167495,1.28998,0.0301245,-0.0106469,0.553657,0.00395805,0.0220357,-0.139386
0.919023,-0.443993,0.250141,0.92296,-0.421961,0.110823,0.03516,0.162505,1.28963,0.0303394,0.00696221,0.544644,0.00393683,0.0220314,-0.139318
0.908259,-0.435194,0.271883,0.922967,-0.421932,0.110834,0.106643,0.146598,1.29154,0.009719,0.0126512,0.515043,0.0147077,0.0132625,-0.161049
0.908259,-0.435194,0.271883,0.922955,-0.421948,0.110813,0.317639,0.0790356,1.2914,-0.0033663,0.0353819,0.477352,0.014696,0.0132465,-0.16107
0.908259,-0.435194,0.271883,0.922726,-0.421856,0.110834,0.669969,-0.0405631,1.2923,0.0137076,-0.00216345,0.295146,0.0144675,0.0133383,-0.161048
0.908259,-0.435194,0.271883,0.923035,-0.421979,0.110812,1.01748,-0.15444,1.29027,0.00428918,-0.0727654,-0.135553,0.0147763,0.0132158,-0.161071
0.908259,-0.435194,0.271883,0.922904,-0.421972,0.11084,1.24095,-0.241738,1.30097,0.000948894,-0.063022,-0.98012,0.0146454,0.0132223,-0.161043
0.908259,-0.435194,0.271883,0.922867,-0.421964,0.110943,1.51464,-0.329327,1.24322,-0.0347424,0.0974077,-3.00457,0.0146086,0.0132299,-0.16094
0.900423,-0.447746,0.25763,0.922851,-0.42188,0.11069,1.70932,-0.358749,1.2813,-0.0520056,-0.0418396,2.92668,0.022428,0.0258662,-0.146941
0.900423,-0.447746,0.25763,0.922827,-0.421924,0.110843,1.67496,-0.489771,1.31594,-0.0350916,0.0637271,3.04656,0.0224037,0.0258221,-0.146787
