vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.922821,-0.42242,0.111195,-1.18036,1.21994,0.238914,0.0342886,-0.0234644,-0.0356952,0.922821,-0.42242,0.111195
0,0,0,0.922828,-0.422426,0.111215,-1.18039,1.22011,0.239417,0.0326145,-0.0224337,-0.0352996,0.922828,-0.422426,0.111215
0,0,0,0.922829,-0.422433,0.111167,-1.18027,1.2206,0.239535,0.032743,-0.0208372,-0.0314031,0.922829,-0.422433,0.111167
0,0,0,0.922836,-0.422421,0.111212,-1.18039,1.22018,0.239397,0.0326321,-0.0225758,-0.0353095,0.922836,-0.422421,0.111212
0,0,0,0.922844,-0.422429,0.11118,-1.18039,1.22006,0.239221,0.0318942,-0.0208806,-0.0344766,0.922844,-0.422429,0.11118
0,0,0,0.922846,-0.42242,0.111208,-1.18037,1.22012,0.23937,0.0330853,-0.0221391,-0.0347355,0.922846,-0.42242,0.111208
0,0,0,0.922836,-0.422406,0.111197,-1.18038,1.2201,0.239233,0.031671,-0.0203476,-0.0342074,0.922836,-0.422406,0.111197
0,0,0,0.922848,-0.422412,0.1112,-1.18037,1.22015,0.239343,0.0328413,-0.0228542,-0.0352139,0.922848,-0.422412,0.1112
0,0,0,0.922838,-0.422406,0.111192,-1.18036,1.22018,0.239366,0.0327706,-0.0226312,-0.0350515,0.922838,-0.422406,0.111192
0,0,0,0.922844,-0.422419,0.111178,-1.1804,1.22009,0.239276,0.0319682,-0.0207386,-0.0343597,0.922844,-0.422419,0.111178
0,0,0,0.922838,-0.422429,0.111197,-1.18033,1.22015,0.239379,0.0330788,-0.0225464,-0.0347953,0.922838,-0.422429,0.111197
0,0,0,0.922825,-0.422418,0.111222,-1.18039,1.2201,0.239243,0.0315899,-0.020622,-0.0345635,0.922825,-0.422418,0.111222
0,0,0,0.922815,-0.422414,0.111181,-1.18037,1.22014,0.239209,0.0318884,-0.0203627,-0.0342545,0.922815,-0.422414,0.111181
0,0,0,0.92282,-0.422459,0.11118,-1.18036,1.2201,0.239209,0.0317793,-0.0204034,-0.0341831,0.92282,-0.422459,0.11118
